CustomerID,SignupDate,LoyaltyStatus
CUST001,2023-11-24,None
CUST002,2023-02-27,Active
CUST003,2023-01-13,Inactive
CUST004,2023-05-21,Active
CUST005,2023-05-06,None
CUST006,2023-04-25,Inactive
CUST007,2023-03-13,None
CUST008,2023-02-22,None
CUST009,2023-12-13,Inactive
CUST010,2023-10-07,None
CUST011,2023-02-14,Active
CUST012,2023-10-30,None
CUST013,2023-08-05,Active
CUST014,2023-01-17,Active
CUST015,2023-01-16,None
CUST016,2023-02-17,Active
CUST017,2023-04-22,Inactive
CUST018,2023-04-30,Active
CUST019,2023-09-16,Active
CUST020,2023-11-05,Active
CUST021,2023-01-14,Inactive
CUST022,2023-10-15,Inactive
CUST023,2023-04-12,Inactive
CUST024,2023-11-29,None
CUST025,2023-12-26,Inactive
CUST026,2023-10-07,Active
CUST027,2023-08-03,Inactive
CUST028,2023-04-23,Inactive
CUST029,2023-08-18,Active
CUST030,2023-10-29,None
CUST031,2023-05-23,Inactive
CUST032,2023-01-04,None
CUST033,2023-03-23,None
CUST034,2023-12-24,None
CUST035,2023-08-05,Active
CUST036,2023-06-24,None
CUST037,2023-05-23,None
CUST038,2023-03-21,Active
CUST039,2023-04-21,None
CUST040,2023-06-22,None
CUST041,2023-02-22,Active
CUST042,2023-02-17,Active
CUST043,2023-07-14,Inactive
CUST044,2023-02-19,Inactive
CUST045,2023-07-03,Inactive
CUST046,2023-06-26,None
CUST047,2023-11-06,None
CUST048,2023-05-16,None
CUST049,2023-01-23,Active
CUST050,2023-08-24,None
