CustomerID,TransactionDate,DiscountAmount
CUST003,2023-09-01,1.66
CUST003,2023-10-20,3.88
CUST004,2023-11-07,1.38
CUST004,2023-02-06,4.76
CUST004,2023-10-24,4.67
CUST005,2023-05-26,4.42
CUST006,2023-08-15,4.05
CUST006,2023-12-15,4.15
CUST007,2023-07-19,1.47
CUST008,2023-10-04,1.01
CUST009,2023-02-02,4.96
CUST009,2023-01-20,3.09
CUST010,2023-09-29,3.29
CUST010,2023-11-10,3.76
CUST010,2023-08-31,2.84
CUST010,2023-02-05,4.56
CUST011,2023-02-05,4.27
CUST011,2023-05-08,4.94
CUST012,2023-01-01,3.44
CUST012,2023-04-25,1.95
CUST012,2023-06-18,3.37
CUST013,2023-12-09,2.45
CUST013,2023-12-04,2.77
CUST013,2023-03-09,1.09
CUST013,2023-11-15,1.96
CUST014,2023-10-24,4.03
CUST014,2023-12-07,1.22
CUST014,2023-11-14,2.66
CUST014,2023-09-01,2.23
CUST014,2023-08-20,4.94
CUST014,2023-01-13,4.34
CUST015,2023-05-16,4.69
CUST015,2023-03-13,2.52
CUST015,2023-06-04,3.38
CUST016,2023-10-03,3.74
CUST016,2023-08-08,3.81
CUST016,2023-09-18,3.8
CUST016,2023-08-24,2.15
CUST016,2023-03-05,4.49
CUST017,2023-08-09,4.65
CUST017,2023-05-04,1.32
CUST017,2023-12-18,1.75
CUST017,2023-06-24,4.1
CUST018,2023-12-15,1.45
CUST019,2023-03-13,3.92
CUST019,2023-12-28,4.74
CUST020,2023-03-18,2.05
CUST020,2023-06-19,4.55
CUST020,2023-03-26,3.24
CUST020,2023-08-09,2.51
